"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2019","3,231.00","3,146.25","3,254.00","3,069.50","24.39M","2.78%"
"11/01/2019","3,143.75","3,036.00","3,155.00","3,033.00","22.85M","3.56%"
"10/01/2019","3,035.75","2,984.00","3,055.00","2,855.00","30.90M","1.92%"
"09/01/2019","2,978.50","2,901.00","3,023.75","2,889.00","25.25M","1.84%"
"08/01/2019","2,924.75","2,970.25","3,014.25","2,775.75","44.45M","-1.93%"
"07/01/2019","2,982.25","2,970.00","3,029.50","2,955.50","25.38M","1.29%"
"06/01/2019","2,944.25","2,741.00","2,961.75","2,728.75","25.18M","6.97%"
"05/01/2019","2,752.50","2,955.00","2,961.25","2,750.00","41.67M","-6.65%"
"04/01/2019","2,948.50","2,844.50","2,956.50","2,844.50","23.84M","3.90%"
"03/01/2019","2,837.75","2,785.25","2,866.00","2,722.00","28.09M","1.90%"
"02/01/2019","2,784.75","2,707.75","2,814.00","2,680.75","25.30M","2.97%"
"01/01/2019","2,704.50","2,508.00","2,713.00","2,438.50","33.83M","7.95%"
"12/01/2018","2,505.25","2,793.50","2,814.00","2,316.75","34.50M","-9.17%"
"11/01/2018","2,758.25","2,706.00","2,818.00","2,626.00","36.85M","1.74%"
"10/01/2018","2,711.00","2,922.50","2,944.75","2,603.00","52.85M","-7.13%"
"09/01/2018","2,919.00","2,906.50","2,944.00","2,865.00","22.73M","0.59%"
"08/01/2018","2,902.00","2,824.25","2,917.50","2,791.00","24.96M","3.02%"
"07/01/2018","2,817.00","2,721.00","2,849.50","2,698.50","23.21M","3.51%"
"06/01/2018","2,721.50","2,707.50","2,791.75","2,693.25","26.24M","0.59%"
"05/01/2018","2,705.50","2,646.25","2,741.75","2,591.25","28.62M","2.21%"
"04/01/2018","2,647.00","2,635.00","2,718.50","2,552.00","35.48M","0.15%"
"03/01/2018","2,643.00","2,718.25","2,802.50","2,586.00","36.31M","-2.63%"
"02/01/2018","2,714.50","2,828.75","2,837.25","2,529.00","42.52M","-3.94%"
"01/01/2018","2,825.75","2,675.25","2,878.50","2,674.50","28.82M","5.60%"
"12/01/2017","2,676.00","2,640.75","2,698.25","2,605.00","20.22M","1.06%"
"11/01/2017","2,648.00","2,572.75","2,658.50","2,555.50","27.33M","2.92%"
"10/01/2017","2,572.75","2,518.00","2,580.75","2,517.00","24.34M","2.26%"
"09/01/2017","2,516.00","2,470.25","2,517.75","2,445.50","23.16M","1.86%"
"08/01/2017","2,470.00","2,468.00","2,488.50","2,415.75","32.32M","0.08%"
"07/01/2017","2,468.00","2,422.00","2,480.50","2,405.25","22.17M","1.94%"
"06/01/2017","2,421.00","2,413.75","2,451.50","2,402.25","27.99M","0.41%"
"05/01/2017","2,411.00","2,381.50","2,417.75","2,344.50","27.95M","1.28%"
"04/01/2017","2,380.50","2,357.50","2,394.75","2,322.75","27.33M","0.90%"
"03/01/2017","2,359.25","2,364.50","2,401.00","2,317.75","31.68M","-0.15%"
"02/01/2017","2,362.75","2,277.00","2,370.75","2,264.50","26.68M","3.88%"
"01/01/2017","2,274.50","2,240.75","2,299.50","2,239.50","28.60M","1.71%"
"12/01/2016","2,236.25","2,199.50","2,278.25","2,179.00","23.22M","1.71%"
"11/01/2016","2,198.75","2,123.50","2,213.75","2,028.50","38.06M","3.71%"
"10/01/2016","2,120.00","2,158.75","2,164.00","2,107.75","32.48M","-1.87%"
"09/01/2016","2,160.50","2,169.00","2,189.25","2,107.00","31.68M","-0.41%"
"08/01/2016","2,169.50","2,174.00","2,191.50","2,141.50","33.18M","0.06%"
"07/01/2016","2,168.25","2,086.50","2,172.50","2,065.75","30.89M","3.73%"
"06/01/2016","2,090.25","2,094.00","2,119.75","1,981.50","33.87M","-0.23%"
"05/01/2016","2,095.00","2,060.75","2,103.75","2,022.00","32.87M","1.75%"
"04/01/2016","2,059.00","2,052.75","2,105.25","2,026.00","34.57M","0.37%"
"03/01/2016","2,051.50","1,928.00","2,064.50","1,920.75","31.52M","6.32%"
"02/01/2016","1,929.50","1,929.75","1,968.75","1,802.50","42.33M","-0.03%"
"01/01/2016","1,930.00","2,037.75","2,043.50","1,804.25","47.87M","-5.18%"
"12/01/2015","2,035.50","2,085.50","2,105.00","1,992.25","28.31M","-2.13%"
"11/01/2015","2,079.75","2,073.00","2,110.25","1,998.50","28.53M","0.29%"
"10/01/2015","2,073.75","1,902.50","2,094.75","1,883.00","36.14M","8.64%"
"09/01/2015","1,908.75","1,965.50","2,021.50","1,861.00","35.83M","-3.07%"
"08/01/2015","1,969.25","2,098.75","2,107.00","1,831.00","46.04M","-6.16%"
"07/01/2015","2,098.50","2,054.50","2,126.25","2,034.25","32.92M","2.14%"
"06/01/2015","2,054.50","2,107.00","2,127.50","2,046.75","27.46M","-2.45%"
"05/01/2015","2,106.00","2,082.75","2,134.00","2,057.00","24.43M","1.30%"
"04/01/2015","2,079.00","2,058.00","2,119.75","2,033.50","26.73M","0.89%"
"03/01/2015","2,060.75","2,104.00","2,115.50","2,033.25","27.27M","-2.00%"
"02/01/2015","2,102.75","1,990.50","2,117.75","1,973.75","24.20M","5.75%"
"01/01/2015","1,988.50","2,055.00","2,067.25","1,970.25","38.30M","-3.12%"
"12/01/2014","2,052.50","2,063.25","2,088.75","1,968.25","23.62M","-0.67%"
"11/01/2014","2,066.25","2,011.25","2,075.25","1,995.25","22.06M","2.72%"
"10/01/2014","2,011.50","1,961.00","2,016.75","1,813.00","54.34M","2.34%"
"09/01/2014","1,965.50","1,999.00","2,022.50","1,955.50","28.65M","-1.80%"
"08/01/2014","2,001.50","1,926.00","2,003.75","1,890.25","27.91M","3.99%"
"07/01/2014","1,924.75","1,954.50","1,985.75","1,923.50","33.20M","-1.42%"
"06/01/2014","1,952.50","1,921.25","1,970.00","1,913.75","22.43M","1.61%"
"05/01/2014","1,921.50","1,879.50","1,922.25","1,854.50","27.54M","2.32%"
"04/01/2014","1,878.00","1,864.50","1,892.50","1,803.25","34.39M","0.72%"
"03/01/2014","1,864.50","1,846.00","1,887.50","1,830.50","29.72M","0.38%"
"02/01/2014","1,857.50","1,777.50","1,866.50","1,732.00","33.09M","4.56%"
"01/01/2014","1,776.50","1,837.75","1,845.75","1,761.25","33.66M","-3.50%"
"12/01/2013","1,841.00","1,806.25","1,846.50","1,760.25","21.68M","2.05%"
"11/01/2013","1,804.00","1,755.50","1,812.50","1,736.50","28.54M","3.03%"
"10/01/2013","1,751.00","1,678.50","1,773.25","1,640.00","38.93M","4.58%"
"09/01/2013","1,674.25","1,640.25","1,733.25","1,630.75","27.81M","2.64%"
"08/01/2013","1,631.25","1,685.50","1,705.00","1,624.75","34.76M","-2.93%"
"07/01/2013","1,680.50","1,600.25","1,695.50","1,593.25","29.25M","5.08%"
"06/01/2013","1,599.25","1,629.50","1,655.00","1,553.25","36.25M","-1.83%"
"05/01/2013","1,629.00","1,593.75","1,685.75","1,576.00","41.51M","2.31%"
"04/01/2013","1,592.25","1,563.00","1,594.25","1,530.75","41.05M","1.89%"
"03/01/2013","1,562.75","1,512.50","1,565.00","1,499.50","31.36M","3.27%"
"02/01/2013","1,513.25","1,496.00","1,530.00","1,481.75","35.77M","1.34%"
"01/01/2013","1,493.25","1,443.00","1,506.00","1,438.25","30.69M","5.16%"
"12/01/2012","1,420.00","1,413.25","1,450.50","1,382.25","23.77M","0.39%"
"11/01/2012","1,414.50","1,402.00","1,431.75","1,340.25","39.41M","0.55%"
"10/01/2012","1,406.75","1,432.75","1,466.00","1,394.50","35.97M","-1.92%"
"09/01/2012","1,434.25","1,406.25","1,474.75","1,394.50","25.46M","2.08%"
"08/01/2012","1,405.00","1,372.00","1,424.75","1,349.25","33.29M","2.22%"
"07/01/2012","1,374.50","1,358.75","1,387.50","1,319.75","38.57M","1.33%"
"06/01/2012","1,356.50","1,306.25","1,359.50","1,262.00","38.30M","3.61%"
"05/01/2012","1,309.25","1,394.25","1,411.75","1,287.25","47.31M","-6.05%"
"04/01/2012","1,393.50","1,407.25","1,417.75","1,352.50","35.72M","-0.69%"
"03/01/2012","1,403.25","1,362.25","1,419.75","1,338.50","30.68M","2.84%"
"02/01/2012","1,364.50","1,307.75","1,377.25","1,303.75","32.42M","4.30%"
"01/01/2012","1,308.25","1,274.75","1,329.75","1,259.75","34.65M","4.45%"
"12/01/2011","1,252.50","1,243.75","1,272.00","1,195.50","28.65M","0.52%"
"11/01/2011","1,246.00","1,247.50","1,275.25","1,147.50","51.41M","-0.26%"
"10/01/2011","1,249.25","1,124.00","1,289.25","1,068.00","55.00M","10.95%"
"09/01/2011","1,126.00","1,218.00","1,228.50","1,102.00","50.20M","-7.53%"
"08/01/2011","1,217.75","1,306.00","1,309.75","1,077.00","82.47M","-5.49%"
"07/01/2011","1,288.50","1,314.75","1,354.50","1,278.50","43.05M","-2.05%"
"06/01/2011","1,315.50","1,344.75","1,347.75","1,256.25","40.74M","-2.12%"
"05/01/2011","1,344.00","1,363.25","1,373.50","1,302.25","43.05M","-1.16%"
"04/01/2011","1,359.75","1,321.25","1,363.75","1,290.25","32.67M","2.93%"
"03/01/2011","1,321.00","1,326.50","1,336.50","1,246.50","39.20M","-0.38%"
"02/01/2011","1,326.00","1,282.50","1,343.00","1,281.25","36.25M","3.39%"
"01/01/2011","1,282.50","1,256.00","1,299.50","1,255.25","38.66M","2.35%"
"12/01/2010","1,253.00","1,177.75","1,258.50","1,176.25","23.18M","6.23%"
"11/01/2010","1,179.50","1,180.50","1,224.75","1,171.00","45.36M","-0.02%"
"10/01/2010","1,179.75","1,135.75","1,193.00","1,127.00","41.90M","3.78%"
"09/01/2010","1,136.75","1,051.75","1,153.50","1,050.75","32.98M","8.44%"
"08/01/2010","1,048.25","1,104.50","1,127.75","1,037.00","42.06M","-4.55%"
"07/01/2010","1,098.25","1,024.50","1,118.75","1,002.75","44.40M","6.99%"
"06/01/2010","1,026.50","1,088.50","1,129.50","1,023.00","44.33M","-5.70%"
"05/01/2010","1,088.50","1,184.50","1,202.00","1,036.75","64.17M","-8.03%"
"04/01/2010","1,183.50","1,167.00","1,216.75","1,165.75","43.41M","1.57%"
"03/01/2010","1,165.25","1,105.50","1,176.50","1,104.25","32.63M","5.60%"
"02/01/2010","1,103.50","1,070.00","1,112.75","1,040.75","42.89M","3.08%"
"01/01/2010","1,070.50","1,113.75","1,148.00","1,066.50","40.73M","-3.62%"
"12/01/2009","1,110.75","1,092.75","1,128.50","1,085.00","24.23M","1.46%"
"11/01/2009","1,094.75","1,031.25","1,112.25","1,026.00","36.85M","5.98%"
"10/01/2009","1,033.00","1,053.50","1,099.00","1,012.00","46.28M","-1.90%"
"09/01/2009","1,053.00","1,021.00","1,076.50","991.00","31.57M","3.26%"
"08/01/2009","1,019.75","982.75","1,038.75","975.50","38.33M","3.58%"
"07/01/2009","984.50","915.75","994.00","865.25","42.23M","7.54%"
"06/01/2009","915.50","920.25","957.50","884.25","34.06M","-0.27%"
"05/01/2009","918.00","866.00","929.50","862.50","45.89M","5.52%"
"04/01/2009","870.00","790.50","887.00","779.00","49.22M","9.47%"
"03/01/2009","794.75","731.25","830.50","665.75","49.00M","8.24%"
"02/01/2009","734.25","823.75","873.00","729.50","49.30M","-10.73%"
"01/01/2009","822.50","900.00","942.75","797.50","45.64M","-8.61%"
"12/01/2008","900.00","897.50","919.25","813.00","33.68M","0.53%"
"11/01/2008","895.25","965.75","1,008.50","739.00","56.28M","-7.44%"
"10/01/2008","967.25","1,167.50","1,174.00","825.00","84.13M","-17.26%"
"09/01/2008","1,169.00","1,282.00","1,303.50","1,112.00","47.37M","-8.85%"
"08/01/2008","1,282.50","1,266.50","1,313.50","1,246.25","36.24M","1.22%"
"07/01/2008","1,267.00","1,283.00","1,294.75","1,200.75","53.29M","-1.09%"
"06/01/2008","1,281.00","1,400.75","1,411.00","1,272.75","34.52M","-8.53%"
"05/01/2008","1,400.50","1,383.00","1,441.00","1,370.50","36.08M","1.05%"
"04/01/2008","1,386.00","1,321.25","1,407.00","1,315.75","38.38M","4.68%"
"03/01/2008","1,324.00","1,329.50","1,361.50","1,253.00","36.37M","-0.54%"
"02/01/2008","1,331.25","1,373.00","1,400.00","1,312.75","40.19M","-3.50%"
"01/01/2008","1,379.50","1,478.75","1,482.75","1,255.50","55.14M","-6.62%"
"12/01/2007","1,477.25","1,484.00","1,527.00","1,435.50","21.06M","-0.44%"
"11/01/2007","1,483.75","1,552.50","1,555.00","1,406.25","46.56M","-4.58%"
"10/01/2007","1,554.90","1,540.50","1,586.75","1,492.50","38.62M","1.10%"
"09/01/2007","1,538.00","1,476.00","1,545.50","1,440.75","24.30M","4.15%"
"08/01/2007","1,476.75","1,462.50","1,510.50","1,374.50","55.25M","1.01%"
"07/01/2007","1,462.00","1,515.25","1,566.25","1,455.00","35.25M","-3.53%"
"06/01/2007","1,515.50","1,533.00","1,554.25","1,480.50","25.89M","-1.14%"
"05/01/2007","1,533.00","1,489.25","1,538.00","1,482.25","26.17M","2.99%"
"04/01/2007","1,488.50","1,431.75","1,505.00","1,425.75","20.34M","4.00%"
"03/01/2007","1,431.25","1,408.75","1,451.00","1,363.75","25.37M","1.58%"
"02/01/2007","1,409.00","1,442.25","1,464.75","1,389.00","22.37M","-2.36%"
"01/01/2007","1,443.00","1,433.25","1,447.25","1,412.25","21.60M","1.02%"
"12/01/2006","1,428.50","1,403.00","1,444.00","1,387.50","12.00M","1.82%"
"11/01/2006","1,403.00","1,382.75","1,411.25","1,365.50","23.44M","1.43%"
"10/01/2006","1,383.25","1,345.75","1,398.00","1,336.00","22.35M","2.81%"
"09/01/2006","1,345.40","1,305.00","1,350.50","1,291.50","14.30M","3.06%"
"08/01/2006","1,305.50","1,282.75","1,308.75","1,262.50","18.99M","1.85%"
"07/01/2006","1,281.75","1,281.75","1,290.00","1,231.00","21.61M","0.18%"
"06/01/2006","1,279.50","1,273.00","1,294.00","1,218.75","18.51M","0.59%"
"05/01/2006","1,272.00","1,318.50","1,331.25","1,246.75","24.64M","-3.34%"
"04/01/2006","1,316.00","1,307.00","1,324.75","1,286.50","18.17M","0.98%"
"03/01/2006","1,303.25","1,281.75","1,321.50","1,268.75","14.69M","1.62%"
"02/01/2006","1,282.50","1,279.50","1,299.75","1,255.75","16.00M","-0.08%"
"01/01/2006","1,283.50","1,255.25","1,301.00","1,251.50","18.71M","2.29%"
"12/01/2005","1,254.75","1,252.50","1,281.00","1,251.25","10.14M","0.30%"
"11/01/2005","1,251.00","1,204.00","1,273.00","1,202.50","15.98M","3.41%"
"10/01/2005","1,209.75","1,235.25","1,239.00","1,171.75","22.92M","-1.99%"
"09/01/2005","1,234.25","1,222.50","1,244.50","1,210.75","13.00M","1.04%"
"08/01/2005","1,221.50","1,239.25","1,248.50","1,194.00","17.66M","-1.23%"
"07/01/2005","1,236.75","1,196.00","1,248.75","1,170.75","14.40M","3.45%"
"06/01/2005","1,195.50","1,192.50","1,225.00","1,191.25","11.81M","0.27%"
"05/01/2005","1,192.25","1,157.75","1,202.00","1,146.75","16.53M","2.91%"
"04/01/2005","1,158.50","1,183.75","1,195.75","1,135.75","20.17M","-2.15%"
"03/01/2005","1,184.00","1,205.00","1,229.75","1,166.75","12.41M","-1.66%"
"02/01/2005","1,204.00","1,181.75","1,214.75","1,179.50","12.50M","1.88%"
"01/01/2005","1,181.75","1,213.50","1,221.25","1,164.25","15.44M","-2.64%"
"12/01/2004","1,213.75","1,175.50","1,219.75","1,173.50","7.92M","3.39%"
"11/01/2004","1,174.00","1,127.50","1,191.25","1,126.25","13.63M","3.87%"
"10/01/2004","1,130.25","1,114.75","1,143.75","1,088.00","14.62M","1.37%"
"09/01/2004","1,115.00","1,104.25","1,132.50","1,098.00","8.81M","1.00%"
"08/01/2004","1,104.00","1,098.00","1,109.75","1,060.00","12.88M","0.27%"
"07/01/2004","1,101.00","1,141.50","1,143.75","1,077.00","14.30M","-3.46%"
"06/01/2004","1,140.50","1,121.50","1,146.25","1,112.50","8.97M","1.81%"
"05/01/2004","1,120.25","1,105.25","1,127.50","1,075.25","15.87M","1.29%"
"04/01/2004","1,106.00","1,127.25","1,154.50","1,103.75","14.99M","-1.69%"
"03/01/2004","1,125.00","1,144.25","1,163.75","1,084.75","11.97M","-1.70%"
"02/01/2004","1,144.50","1,130.25","1,158.75","1,122.00","11.34M","1.28%"
"01/01/2004","1,130.00","1,111.00","1,155.00","1,103.50","13.07M","1.76%"
"12/01/2003","1,110.50","1,059.00","1,111.50","1,053.00","6.87M","4.99%"
"11/01/2003","1,057.75","1,047.25","1,064.50","1,030.25","11.00M","0.79%"
"10/01/2003","1,049.50","995.00","1,055.75","995.00","14.55M","5.58%"
"09/01/2003","994.00","1,008.25","1,041.75","987.75","10.93M","-1.36%"
"08/01/2003","1,007.75","988.75","1,012.25","958.25","10.85M","1.87%"
"07/01/2003","989.25","972.75","1,014.75","960.25","14.85M","1.64%"
"06/01/2003","973.25","963.75","1,016.75","963.50","10.35M","1.04%"
"05/01/2003","963.25","915.50","966.00","900.50","12.83M","5.16%"
"04/01/2003","916.00","844.50","923.75","843.00","13.51M","8.15%"
"03/01/2003","847.00","844.00","888.50","788.50","9.69M","0.71%"
"02/01/2003","841.00","854.75","864.00","805.25","12.62M","-1.61%"
"01/01/2003","854.75","883.00","937.00","836.00","13.58M","-2.76%"
"12/01/2002","879.00","934.00","955.25","868.00","6.65M","-6.09%"
"11/01/2002","936.00","882.00","942.50","870.25","11.05M","5.70%"
"10/01/2002","885.50","816.50","909.25","767.25","17.17M","8.65%"
"09/01/2002","815.00","913.25","927.50","798.25","7.96M","-11.03%"
"08/01/2002","916.00","909.25","966.00","828.50","11.20M","0.49%"
"07/01/2002","911.50","989.00","996.25","771.00","14.28M","-7.93%"
"06/01/2002","990.00","1,066.25","1,071.00","945.50","6.69M","-7.26%"
"05/01/2002","1,067.50","1,076.75","1,109.00","1,045.75","7.56M","-0.91%"
"04/01/2002","1,077.25","1,145.25","1,150.00","1,063.50","7.16M","-6.26%"
"03/01/2002","1,149.25","1,106.25","1,177.50","1,106.00","3.75M","3.82%"
"02/01/2002","1,107.00","1,128.75","1,132.25","1,073.75","5.34M","-2.07%"
"01/01/2002","1,130.40","1,143.75","1,178.50","1,080.75","4.93M","-1.64%"
"12/01/2001","1,149.20","1,137.25","1,175.25","1,114.25","2.02M","0.81%"
"11/01/2001","1,140.00","1,057.50","1,164.75","1,053.25","4.26M","7.47%"
"10/01/2001","1,060.75","1,044.25","1,114.50","1,028.75","5.30M","1.63%"
"09/01/2001","1,043.75","1,137.50","1,158.50","939.00","2.51M","-8.04%"
"08/01/2001","1,135.00","1,214.00","1,234.25","1,125.50","3.48M","-6.60%"
"07/01/2001","1,215.25","1,233.50","1,248.25","1,168.50","2.92M","-1.34%"
"06/01/2001","1,231.75","1,255.75","1,288.50","1,204.25","1.98M","-2.05%"
"05/01/2001","1,257.50","1,253.25","1,319.25","1,235.00","2.93M","0.26%"
"04/01/2001","1,254.25","1,173.00","1,325.00","1,098.50","3.07M","7.27%"
"03/01/2001","1,169.25","1,239.25","1,270.50","1,088.00","2.17M","-5.86%"
"02/01/2001","1,242.00","1,373.50","1,386.00","1,217.00","2.23M","-9.54%"
"01/01/2001","1,373.00","1,331.00","1,394.00","1,287.50","2.23M","2.85%"
"12/01/2000","1,335.00","1,321.50","1,392.00","1,270.25","1.08M","1.02%"
"11/01/2000","1,321.50","1,441.00","1,455.00","1,296.75","1.84M","-8.25%"
"10/01/2000","1,440.25","1,453.75","1,474.00","1,324.00","2.11M","-0.93%"
"09/01/2000","1,453.75","1,522.75","1,557.50","1,436.75","1.18M","-4.44%"
"08/01/2000","1,521.25","1,439.50","1,530.00","1,433.25","1.44M","5.72%"
"07/01/2000","1,439.00","1,472.25","1,533.00","1,423.50","1.40M","-1.98%"
"06/01/2000","1,468.00","1,422.00","1,514.25","1,420.25","1.06M","3.22%"
"05/01/2000","1,422.25","1,459.00","1,492.75","1,365.50","1.72M","-2.59%"
"04/01/2000","1,460.00","1,514.00","1,544.75","1,342.25","1.46M","-3.65%"
"03/01/2000","1,515.25","1,372.25","1,574.25","1,348.50","1.05M","10.44%"
"02/01/2000","1,372.00","1,402.75","1,454.75","1,327.50","1.39M","-2.07%"
"01/01/2000","1,401.00","1,489.00","1,496.00","1,357.00","1.31M","-5.61%"
"12/01/1999","1,484.25","1,391.50","1,499.50","1,386.25","585.39K","6.67%"
"11/01/1999","1,391.50","1,375.00","1,432.50","1,352.00","1.07M","1.11%"
"10/01/1999","1,376.25","1,297.00","1,383.00","1,241.50","1.24M","6.01%"
"09/01/1999","1,298.20","1,320.00","1,365.50","1,267.50","788.71K","-1.64%"
"08/01/1999","1,319.80","1,332.50","1,387.75","1,271.00","1.06M","-0.90%"
"07/01/1999","1,331.80","1,381.75","1,431.75","1,331.00","863.39K","-3.61%"
"06/01/1999","1,381.70","1,298.75","1,386.50","1,278.00","589.76K","7.44%"
"05/01/1999","1,286.00","1,338.50","1,382.00","1,278.00","841.45K","-4.56%"
"04/01/1999","1,347.50","1,292.75","1,380.75","1,290.75","803.88K","4.19%"
"03/01/1999","1,293.25","1,236.50","1,338.00","1,216.75","598.89K","4.67%"
"02/01/1999","1,235.50","1,280.75","1,290.75","1,215.25","649.77K","-3.59%"
"01/01/1999","1,281.50","1,243.25","1,294.25","1,203.50","602.58K","2.89%"
"12/01/1998","1,245.50","1,162.75","1,256.75","1,135.50","320.81K","7.14%"
"11/01/1998","1,162.50","1,105.00","1,198.00","1,101.75","429.52K","5.18%"
"10/01/1998","1,105.20","1,026.50","1,110.25","929.25","518.34K","7.72%"
"09/01/1998","1,026.00","951.75","1,080.75","935.00","292.02K","7.10%"
"08/01/1998","958.00","1,122.25","1,128.25","952.00","455.15K","-16.40%"
"07/01/1998","1,146.00","1,143.00","1,199.75","1,116.25","379.68K","0.26%"
"06/01/1998","1,143.00","1,090.00","1,158.00","1,071.50","248.92K","4.79%"
"05/01/1998","1,090.75","1,119.25","1,137.00","1,075.00","289.37K","-2.55%"
"04/01/1998","1,119.25","1,109.75","1,142.50","1,081.50","297.79K","0.79%"
"03/01/1998","1,110.50","1,049.25","1,125.25","1,032.00","212.70K","5.71%"
"02/01/1998","1,050.50","988.00","1,055.00","987.75","217.97K","6.35%"
"01/01/1998","987.75","979.25","999.00","914.50","268.74K","0.87%"
"12/01/1997","979.25","955.50","989.75","935.00","153.86K","2.54%"
"11/01/1997","955.00","923.75","971.00","902.50","192.55K","3.35%"
"10/01/1997","924.00","955.50","992.25","844.00","281.21K","-3.20%"
