Date,Open,High,Low,Close,Adj Close,Volume
1996-11-01,7.421875,7.484375,6.453125,7.109375,5.472000,360784000
1996-12-01,7.125000,7.843750,6.437500,7.500000,5.772658,241409600
1997-01-01,7.468750,8.671875,7.234375,8.546875,6.584536,235096000
1997-02-01,8.515625,9.546875,7.890625,8.984375,6.921588,197195200
1997-03-01,8.843750,9.140625,7.671875,7.734375,5.958585,330716800
1997-04-01,7.718750,7.906250,6.406250,7.031250,5.421027,590005600
1997-05-01,7.078125,8.312500,6.718750,7.187500,5.541493,652409600
1997-06-01,7.218750,7.765625,6.859375,7.296875,5.625819,346074400
1997-07-01,7.265625,8.015625,6.953125,7.828125,6.040507,323491200
1997-08-01,7.757813,7.875000,6.585938,6.671875,5.148296,313789600
1997-09-01,6.804688,7.062500,6.546875,6.625000,5.112124,335854400
1997-10-01,6.664063,6.718750,5.625000,5.890625,4.549773,332632000
1997-11-01,5.992188,6.414063,5.781250,6.085938,4.700631,186445600
1997-12-01,6.117188,6.257813,4.718750,4.882813,3.771363,402532800
1998-01-01,4.906250,5.414063,4.859375,5.007813,3.873261,246700000
1998-02-01,5.039063,5.937500,4.968750,5.484375,4.241856,384157600
1998-03-01,5.484375,5.953125,5.343750,5.531250,4.278110,264640800
1998-04-01,5.531250,6.093750,5.359375,5.968750,4.622723,209955200
1998-05-01,5.984375,6.093750,5.656250,5.750000,4.453306,125297600
1998-06-01,5.718750,6.242188,5.421875,6.085938,4.713486,132468000
1998-07-01,6.343750,6.585938,5.492188,5.562500,4.313947,221866400
1998-08-01,5.546875,5.656250,4.328125,4.335938,3.362696,206505600
1998-09-01,4.320313,5.250000,3.875000,4.601563,3.568699,218813600
1998-10-01,4.531250,5.609375,4.437500,5.421875,4.211869,139511200
1998-11-01,5.437500,5.953125,4.914063,5.000000,3.884144,171960000
1998-12-01,4.937500,5.296875,4.359375,5.070313,3.938769,229710400
1999-01-01,5.070313,5.734375,4.843750,5.687500,4.424536,190421600
1999-02-01,6.000000,6.875000,5.710938,6.679688,5.196398,190380800
1999-03-01,6.593750,7.937500,6.250000,7.210938,5.609680,309294400
1999-04-01,7.210938,8.093750,6.835938,7.773438,6.053589,177753600
1999-05-01,7.757813,8.367188,7.265625,7.617188,5.931908,157863200
1999-06-01,7.585938,8.125000,6.789063,7.921875,6.169184,188289600
1999-07-01,7.640625,7.703125,6.468750,6.500000,5.067372,227159200
1999-08-01,6.484375,6.820313,5.773438,5.843750,4.555763,160040000
1999-09-01,5.781250,7.226563,5.781250,7.109375,5.542439,221071200
1999-10-01,7.078125,7.406250,6.664063,7.000000,5.463204,148224000
1999-11-01,6.968750,7.046875,5.507813,5.750000,4.487632,237304800
1999-12-01,5.718750,6.984375,4.976563,6.195313,4.835182,235860800
2000-01-01,6.164063,6.687500,5.671875,5.687500,4.445222,142004800
2000-02-01,5.679688,6.062500,3.312500,3.554688,2.778265,397492800
2000-03-01,3.554688,5.000000,3.226563,4.953125,3.871251,325264000
2000-04-01,5.125000,5.734375,4.546875,5.429688,4.251454,187183200
2000-05-01,5.429688,5.890625,4.734375,5.359375,4.196396,145275200
2000-06-01,5.390625,5.609375,4.351563,4.976563,3.896656,148908800
2000-07-01,5.125000,5.968750,4.968750,5.468750,4.288638,118205600
2000-08-01,5.468750,6.062500,4.945313,4.947266,3.879685,187812000
2000-09-01,5.046875,5.250000,4.437500,5.007813,3.927167,229575200
2000-10-01,5.007813,5.437500,4.367188,4.992188,3.921005,181374400
2000-11-01,4.960938,5.617188,4.890625,5.328125,4.184858,135044000
2000-12-01,5.343750,7.125000,5.031250,6.976563,5.479589,242557600
2001-01-01,6.843750,7.507813,6.343750,6.876250,5.408000,307727200
2001-02-01,6.875000,7.165000,4.661250,4.878750,3.837017,310156800
2001-03-01,4.882500,5.156250,4.415000,5.043750,3.966784,227849600
2001-04-01,5.040000,5.256250,4.537500,5.226250,4.117080,198206400
2001-05-01,5.150000,5.717500,4.781250,5.137500,4.047166,202687200
2001-06-01,5.150000,5.625000,5.062500,5.248750,4.134804,221994400
2001-07-01,5.225000,6.012500,5.041250,5.943750,4.689023,198777600
2001-08-01,5.908750,6.475000,5.807500,6.250000,4.930626,186447200
2001-09-01,6.281250,6.500000,5.093750,5.851250,4.616052,242140800
2001-10-01,5.847500,6.370000,5.768750,6.170000,4.873523,247352800
2001-11-01,6.075000,6.803750,5.956250,6.623750,5.231928,179064000
2001-12-01,6.622500,7.303750,6.250000,7.030000,5.552815,308527200
2002-01-01,7.040000,7.631250,6.825000,7.488750,5.921688,256148800
2002-02-01,7.481250,7.580000,7.091250,7.357500,5.817905,171968000
2002-03-01,7.350000,8.035000,7.131250,7.501250,5.931575,258675200
2002-04-01,7.450000,7.450000,6.600000,6.666250,5.276518,276537600
2002-05-01,6.612500,7.052500,6.500000,6.718750,5.318071,227011200
2002-06-01,6.708750,7.037500,6.027500,6.706250,5.308176,284765600
2002-07-01,6.793750,7.231250,5.637500,6.161250,4.882609,339646400
2002-08-01,6.062500,6.062500,5.062500,5.397500,4.277359,407546400
2002-09-01,5.350000,5.715000,5.043750,5.397500,4.277359,274517600
2002-10-01,5.398750,6.028750,4.816250,5.898750,4.681118,302560000
2002-11-01,5.893750,6.025000,5.353750,5.597500,4.442052,245716800
2002-12-01,5.750000,5.891250,5.148750,5.558750,4.411300,267160800
2003-01-01,5.571250,6.053750,5.315000,5.567500,4.425422,209041600
2003-02-01,5.581250,5.872500,5.297500,5.796250,4.607248,197583200
2003-03-01,5.812500,6.675000,5.688750,6.427500,5.109008,328340800
2003-04-01,6.437500,6.957500,6.282500,6.691250,5.326396,218646400
2003-05-01,6.716250,7.070000,6.437500,6.998750,5.571174,230232000
2003-06-01,7.006250,7.187500,6.575000,6.686250,5.322416,327230400
2003-07-01,6.686250,6.807500,6.282500,6.467500,5.154739,224850400
2003-08-01,6.437500,7.133750,6.200000,7.122500,5.676791,184159200
2003-09-01,7.132500,7.781250,6.883750,7.602500,6.059361,261538400
2003-10-01,7.600000,8.116250,7.587500,7.987500,6.374268,238666400
2003-11-01,7.987500,8.435000,7.586250,8.406250,6.708444,239918400
2003-12-01,8.431250,8.567500,7.902500,8.557500,6.829144,265883200
2004-01-01,8.587500,8.827500,8.288750,8.707500,6.959714,184354400
2004-02-01,8.700000,9.325000,8.690000,9.156250,7.318394,171486400
2004-03-01,9.212500,9.820000,9.027500,9.733750,7.779976,291142400
2004-04-01,9.727500,9.820000,8.913750,8.993750,7.197896,200372800
2004-05-01,8.972500,8.987500,8.226250,8.893750,7.117869,256339200
2004-06-01,8.897500,9.667500,8.660000,9.468750,7.578051,200580800
2004-07-01,9.473750,9.515000,8.662500,9.088750,7.284261,199154400
2004-08-01,9.090000,9.612500,8.576250,9.413750,7.544733,163166400
2004-09-01,9.375000,10.002500,9.315000,9.850000,7.894376,223154400
2004-10-01,9.875000,10.243750,9.577500,10.163750,8.156380,202959200
2004-11-01,10.132500,10.975000,10.087500,10.582500,8.492424,222089600
2004-12-01,10.600000,11.553750,10.600000,11.336250,9.097303,196408800
2005-01-01,11.325000,11.417500,10.587500,10.828750,8.702583,154428800
2005-02-01,10.828750,10.986250,10.325000,10.868750,8.734727,209337600
2005-03-01,10.878750,11.065000,10.180000,10.413750,8.369067,312577600
2005-04-01,10.485000,10.530000,9.387500,9.601250,7.727293,249906400
2005-05-01,9.601250,10.465000,9.475000,10.275000,8.269537,235928000
2005-06-01,10.287500,11.366250,10.261250,10.825000,8.712191,326050400
2005-07-01,10.771250,11.062500,10.428750,10.475000,8.442938,238440000
2005-08-01,10.476250,11.125000,9.670000,9.863750,7.950259,356301600
2005-09-01,9.863750,10.656250,9.566250,10.210000,8.229341,495809600
2005-10-01,10.260000,10.540000,9.992500,10.506250,8.481880,261707200
2005-11-01,10.500000,11.068750,10.428750,10.662500,8.608021,213472000
2005-12-01,10.718750,11.442500,10.468750,10.848750,8.758383,354718400
2006-01-01,10.848750,11.020000,10.075000,10.118750,8.183672,347512800
2006-02-01,10.156250,10.978750,10.151250,10.847500,8.773062,252378400
2006-03-01,10.831250,11.005000,10.503750,10.637500,8.603219,318510400
2006-04-01,10.637500,10.732500,10.045000,10.230000,8.288763,206466400
2006-05-01,10.253750,10.387500,9.673750,10.038750,8.133802,267000000
2006-06-01,10.051250,10.621250,9.862500,10.125000,8.203684,326280000
2006-07-01,10.131250,10.218750,9.750000,9.875000,8.016518,315201600
2006-08-01,9.875000,10.118750,9.440000,10.095000,8.195115,421105600
2006-09-01,10.095000,11.113750,9.982500,10.952500,8.891231,450955200
2006-10-01,10.871250,11.758750,10.863750,11.485000,9.341393,259665600
2006-11-01,11.512500,12.412500,11.322500,12.368750,10.060198,213671200
2006-12-01,12.337500,12.650000,11.848750,12.378750,10.068330,258766400
2007-01-01,12.250000,12.543750,11.865000,12.351250,10.064926,273166400
2007-02-01,12.327500,13.612500,12.305000,13.058750,10.641460,283613600
2007-03-01,12.887500,13.762500,12.771250,13.282500,10.823795,329332800
2007-04-01,13.350000,13.775000,13.200000,13.465000,10.991955,203464800
2007-05-01,13.465000,14.280000,13.085000,14.187500,11.581758,259559600
2007-06-01,14.187500,14.815000,12.967500,14.572500,11.896047,389084000
2007-07-01,14.675000,15.087500,13.860000,14.112500,11.558917,319975200
2007-08-01,14.302500,14.657500,13.000000,14.085000,11.536394,346503200
2007-09-01,14.010000,15.247500,13.537500,14.665000,12.011444,291098800
2007-10-01,14.697500,16.642500,14.650000,16.565001,13.613052,353234800
2007-11-01,16.485001,16.547501,15.227500,16.412500,13.487727,233026000
2007-12-01,16.237499,16.982500,15.560000,16.059999,13.198037,233625200
2008-01-01,16.080000,16.174999,12.875000,15.332500,12.644291,419696000
2008-02-01,15.410000,15.750000,14.877500,15.050000,12.411321,240372800
2008-03-01,15.060000,17.650000,14.175000,17.000000,14.019428,388726800
2008-04-01,17.150000,17.500000,16.297501,16.700001,13.824316,292848000
2008-05-01,16.700001,17.219999,16.020000,17.092501,14.149231,262823600
2008-06-01,17.067499,17.570000,14.407500,14.902500,12.336342,380941200
2008-07-01,14.900000,15.107500,13.660000,14.670000,12.185127,398798800
2008-08-01,14.605000,16.200001,14.437500,15.152500,12.585899,239295600
2008-09-01,15.390000,17.000000,14.617500,16.725000,13.892044,429137200
2008-10-01,16.549999,16.754999,11.617500,14.407500,12.011718,580011200
2008-11-01,14.337500,14.625000,10.670000,13.312500,11.098800,379518400
2008-12-01,13.067500,14.332500,11.770000,12.750000,10.629834,364402400
2009-01-01,12.737500,13.500000,10.885000,11.312500,9.476928,280087600
2009-02-01,11.142500,12.280000,10.020000,10.382500,8.697831,289726800
2009-03-01,10.207500,12.072500,9.560000,11.722500,9.820405,412890800
2009-04-01,11.545000,14.075000,11.410000,13.117500,11.053998,287046000
2009-05-01,13.217500,14.285000,12.190000,14.262500,12.018875,309504000
2009-06-01,14.465000,14.987500,12.540000,12.945000,10.908628,379703200
2009-07-01,13.035000,14.442500,12.647500,14.160000,11.984004,297748000
2009-08-01,14.245000,14.567500,13.700000,13.847500,11.719529,269588000
2009-09-01,13.725000,16.237499,13.305000,16.174999,13.689358,426029200
2009-10-01,16.000000,16.587500,15.270000,15.545000,13.218157,302178800
2009-11-01,15.585000,16.584999,15.450000,16.222500,13.794247,175682400
